specification,temp_coefficient,interpretation_pct_per_1C,std_error_HAC,p_value,ci95_low_pct,ci95_high_pct,r_squared,n
Main: log consumption/day + trend + month FE + COVID indicator,0.048220767106952445,4.940230326392769,0.009617509905613207,5.335114952541565e-07,2.980636978693374,6.937112296507109,0.9267757909319803,78
Log consumption/day + trend + month FE,0.04651560584711084,4.761442785155734,0.009889733932388756,2.5583512546732645e-06,2.7503510084392113,6.811896861802946,0.9031026893582932,78
Exclude 2020-2021: log consumption/day + trend + month FE,0.05681825313301686,5.846342050240683,0.009429432951002506,1.6845446680283217e-09,3.908124470308505,7.820713563335557,0.9797645563969196,54
