specification,temperature_measure,estimate_pct_per_1C,ci95_low_pct,ci95_high_pct,p_value,r_squared,n
Main: mean temp + trend + month FE + COVID,temp_mean_c,4.940230326392769,2.9806369786839593,6.9371122965168786,5.335114953216682e-07,0.9267757909319805,78
Apparent temp + trend + month FE + COVID,apparent_temp_mean_c,3.9596231049137565,2.494008094159983,5.446195705283641,8.297868473791866e-08,0.9293251801600957,78
Max temp + trend + month FE + COVID,temp_max_c,3.435748217451162,1.9806286957762653,4.911630239313003,2.965705418444696e-06,0.9242689745226058,78
Mean temp + humidity + trend + month FE + COVID,temp_mean_c,6.284614440581682,3.879125770868841,8.745806079463536,1.8056373782207467e-07,0.9296589316040297,78
12-month change: same-month year-on-year comparison,d12_temp,7.851182838055326,5.421371832737676,10.336997492527988,7.978084424717385e-11,0.34803554409819915,66
